cluster#	fragment_in_cluster	fragment_name	nearest_homolog
55	2	Aqu1.200068	AT5G10350.1
56	2	Aqu1.200069	AT3G22345.1
57	2	Aqu1.200070	AT4G18950.1
57	2	Aqu1.200400	AT4G18950.1
57	2	Aqu1.200440	AT4G18950.1
57	2	Aqu1.200577	AT4G18950.1
58	2	Aqu1.200073	AT5G49200.1
59	2	Aqu1.200074	AT3G44600.1
60	2	Aqu1.200075	AT5G03700.1
61	2	Aqu1.200077	AT1G61400.1
61	2	Aqu1.200445	AT1G61400.1
62	2	Aqu1.200078	AT1G66800.1
63	2	Aqu1.200079	AT4G37130.1
64	2	Aqu1.200081	AT2G27150.1
65	2	Aqu1.200082	AT1G69550.1
65	2	Aqu1.200560	AT1G69550.1
66	2	Aqu1.200083	AT5G65290.1
67	2	Aqu1.200084	AT5G19820.1
68	2	Aqu1.200085	AT5G08260.1
69	2	Aqu1.200086	AT1G76740.1
69	2	Aqu1.200089	AT1G76740.1
69	2	Aqu1.200092	AT1G76740.1
69	2	Aqu1.200098	AT1G76740.1
70	2	Aqu1.200090	AT1G13120.1
71	2	Aqu1.200091	AT3G55000.1
72	2	Aqu1.200093	AT1G53390.1
73	2	Aqu1.200094	AT3G26410.1
74	2	Aqu1.200095	AT4G22200.1
75	2	Aqu1.200096	AT2G36660.1
76	2	Aqu1.200097	AT2G38640.1
77	2	Aqu1.200100	AT3G09550.1
78	2	Aqu1.200101	AT5G53500.1
79	2	Aqu1.200102	AT3G61620.1
80	2	Aqu1.200105	AT3G28380.1
81	2	Aqu1.200106	AT5G40790.1
82	2	Aqu1.200107	AT4G15230.1
82	2	Aqu1.200771	AT4G15230.1
83	2	Aqu1.200110	AT1G79920.1
84	2	Aqu1.200111	AT4G31610.1
84	2	Aqu1.200150	AT4G31610.1
85	2	Aqu1.200112	AT5G17690.1
86	2	Aqu1.200113	AT4G25600.1
87	2	Aqu1.200114	AT4G01800.2
88	2	Aqu1.200115	AT5G28780.1
88	2	Aqu1.200172	AT5G28780.1
88	2	Aqu1.200520	AT5G28780.1
88	2	Aqu1.200962	AT5G28780.1
89	2	Aqu1.200117	AT3G21540.1
89	2	Aqu1.200143	AT3G21540.1
89	2	Aqu1.200821	AT3G21540.1
89	2	Aqu1.200917	AT3G21540.1
90	2	Aqu1.200119	AT4G32760.2
91	2	Aqu1.200120	AT5G21030.1
92	2	Aqu1.200122	AT1G11860.1
93	2	Aqu1.200124	AT3G13640.1
94	2	Aqu1.200125	AT2G38410.1
95	2	Aqu1.200126	AT3G60340.1
95	2	Aqu1.200676	AT3G60340.1
96	2	Aqu1.200127	AT1G01320.1
96	2	Aqu1.200298	AT1G01320.1
97	2	Aqu1.200130	AT4G22130.1
97	2	Aqu1.200367	AT4G22130.1
97	2	Aqu1.201026	AT4G22130.1
98	2	Aqu1.200131	AT5G44700.1
99	2	Aqu1.200132	AT1G19260.1
99	2	Aqu1.200934	AT1G19260.1
100	2	Aqu1.200134	AT5G15540.1
101	2	Aqu1.200135	AT4G19610.1
102	2	Aqu1.200136	AT4G34890.1
103	2	Aqu1.200137	AT3G15570.1
103	2	Aqu1.200294	AT3G15570.1
104	2	Aqu1.200139	AT3G51290.1
105	2	Aqu1.200140	AT5G40910.1
106	2	Aqu1.200142	AT5G01690.1
107	2	Aqu1.200144	AT3G45670.1
108	2	Aqu1.200145	AT1G45150.1
109	2	Aqu1.200146	AT1G54560.1
110	2	Aqu1.200147	AT1G77590.1
111	2	Aqu1.200148	AT1G63090.1
112	2	Aqu1.200149	AT3G06140.1
113	2	Aqu1.200151	AT3G06010.1
114	2	Aqu1.200153	AT2G37340.1
114	2	Aqu1.200899	AT2G37340.1
115	2	Aqu1.200155	AT4G35580.2
116	2	Aqu1.200156	AT1G17070.1
116	2	Aqu1.200810	AT1G17070.1
117	2	Aqu1.200157	AT5G66760.1
118	2	Aqu1.200158	AT1G11070.1
119	2	Aqu1.200159	AT3G42170.1
119	2	Aqu1.200277	AT3G42170.1
119	2	Aqu1.200481	AT3G42170.1
119	2	Aqu1.200929	AT3G42170.1
119	2	Aqu1.201040	AT3G42170.1
120	2	Aqu1.200160	AT3G45430.1
121	2	Aqu1.200161	AT3G52850.1
121	2	Aqu1.200467	AT3G52850.1
122	2	Aqu1.200162	AT3G16410.1
122	2	Aqu1.201115	AT3G16410.1
123	2	Aqu1.200164	AT2G13370.1
124	2	Aqu1.200165	AT1G24180.1
125	2	Aqu1.200166	AT4G33270.1
126	2	Aqu1.200167	AT2G14740.1
127	2	Aqu1.200168	AT3G03300.1
127	2	Aqu1.200800	AT3G03300.1
127	2	Aqu1.200872	AT3G03300.1
128	2	Aqu1.200169	AT3G43210.1
129	2	Aqu1.200170	AT4G40000.1
130	2	Aqu1.200171	AT3G04970.1
130	2	Aqu1.200644	AT3G04970.1
131	2	Aqu1.200174	AT4G23560.1
131	2	Aqu1.200952	AT4G23560.1
132	2	Aqu1.200175	AT3G60240.4
133	2	Aqu1.200176	AT4G22970.1
134	2	Aqu1.200177	AT5G57480.1
135	2	Aqu1.200179	AT1G66210.1
136	2	Aqu1.200180	AT5G03730.2
137	2	Aqu1.200181	AT4G33490.2
138	2	Aqu1.200182	AT1G58360.1
139	2	Aqu1.200183	AT5G19180.1
140	2	Aqu1.200185	AT1G51790.1
141	2	Aqu1.200186	AT1G21240.1
142	2	Aqu1.200187	AT5G08640.1
143	2	Aqu1.200188	AT4G33060.1
143	2	Aqu1.200508	AT4G33060.1
144	2	Aqu1.200189	AT5G50160.1
145	2	Aqu1.200190	AT1G29940.1
146	2	Aqu1.200191	AT1G22800.1
147	2	Aqu1.200192	AT3G19700.1
148	2	Aqu1.200193	AT4G12750.1
149	2	Aqu1.200194	AT3G42060.1
150	2	Aqu1.200195	AT4G12230.1
151	2	Aqu1.200196	AT1G11360.1
151	2	Aqu1.200427	AT1G11360.1
152	2	Aqu1.200197	AT1G60860.1
153	2	Aqu1.200198	AT1G60560.1
154	2	Aqu1.200199	AT5G39810.1
155	2	Aqu1.200200	AT1G33250.1
156	2	Aqu1.200202	AT4G24580.1
157	2	Aqu1.200203	AT5G67120.1
158	2	Aqu1.200204	AT3G01490.1
159	2	Aqu1.200205	AT3G13600.1
160	2	Aqu1.200207	AT3G14415.2
161	2	Aqu1.200208	AT5G14300.1
162	2	Aqu1.200210	AT1G10510.1
162	2	Aqu1.200419	AT1G10510.1
162	2	Aqu1.200543	AT1G10510.1
162	2	Aqu1.200762	AT1G10510.1
162	2	Aqu1.201021	AT1G10510.1
162	2	Aqu1.201025	AT1G10510.1
163	2	Aqu1.200211	AT5G14270.2
164	2	Aqu1.200213	AT2G31800.1
165	2	Aqu1.200214	AT5G41480.1
166	2	Aqu1.200215	AT1G79650.4
167	2	Aqu1.200216	AT5G20510.1
168	2	Aqu1.200217	AT1G19750.1
169	2	Aqu1.200220	AT1G10870.1
170	2	Aqu1.200221	AT5G27150.1
171	2	Aqu1.200222	AT5G61960.1
172	2	Aqu1.200224	AT1G05640.1
173	2	Aqu1.200226	AT5G50960.1
173	2	Aqu1.200877	AT5G50960.1
173	2	Aqu1.200986	AT5G50960.1
174	2	Aqu1.200230	AT1G57770.1
175	2	Aqu1.200231	AT2G46500.1
176	2	Aqu1.200232	AT2G25910.2
177	2	Aqu1.200233	AT2G16780.1
178	2	Aqu1.200234	AT2G27350.5
178	2	Aqu1.200246	AT2G27350.5
179	2	Aqu1.200235	AT3G59140.1
180	2	Aqu1.200236	AT2G44735.1
180	2	Aqu1.200544	AT2G44735.1
181	2	Aqu1.200237	AT2G38390.1
182	2	Aqu1.200238	AT1G31250.1
182	2	Aqu1.200306	AT1G31250.1
182	2	Aqu1.200472	AT1G31250.1
182	2	Aqu1.200712	AT1G31250.1
183	2	Aqu1.200240	AT5G41150.1
184	2	Aqu1.200241	AT5G20300.1
185	2	Aqu1.200242	AT5G14230.1
185	2	Aqu1.200393	AT5G14230.1
185	2	Aqu1.200674	AT5G14230.1
185	2	Aqu1.201007	AT5G14230.1
186	2	Aqu1.200243	AT1G70530.1
187	2	Aqu1.200244	AT3G04220.1
188	2	Aqu1.200245	AT3G52140.4
188	2	Aqu1.200428	AT3G52140.4
188	2	Aqu1.200450	AT3G52140.4
188	2	Aqu1.200498	AT3G52140.4
188	2	Aqu1.200553	AT3G52140.4
188	2	Aqu1.200935	AT3G52140.4
188	2	Aqu1.200950	AT3G52140.4
188	2	Aqu1.200953	AT3G52140.4
188	2	Aqu1.201065	AT3G52140.4
188	2	Aqu1.201071	AT3G52140.4
188	2	Aqu1.201080	AT3G52140.4
189	2	Aqu1.200247	AT5G02490.1
190	2	Aqu1.200248	AT4G02370.1
191	2	Aqu1.200249	AT1G60130.1
192	2	Aqu1.200250	AT1G01600.1
193	2	Aqu1.200251	AT5G60070.1
193	2	Aqu1.200313	AT5G60070.1
193	2	Aqu1.200323	AT5G60070.1
193	2	Aqu1.200380	AT5G60070.1
193	2	Aqu1.200478	AT5G60070.1
193	2	Aqu1.200559	AT5G60070.1
193	2	Aqu1.200947	AT5G60070.1
194	2	Aqu1.200252	AT1G28190.1
195	2	Aqu1.200253	AT3G26670.1
196	2	Aqu1.200254	AT5G42010.1
197	2	Aqu1.200255	AT2G25320.1
197	2	Aqu1.200998	AT2G25320.1
197	2	Aqu1.201009	AT2G25320.1
198	2	Aqu1.200257	AT3G56350.1
199	2	Aqu1.200258	AT5G07570.1
200	2	Aqu1.200259	AT5G04290.1
201	2	Aqu1.200262	AT1G28380.1
202	2	Aqu1.200263	AT2G27210.1
203	2	Aqu1.200266	AT1G53790.2
204	2	Aqu1.200267	AT5G65490.1
205	2	Aqu1.200268	AT1G76010.1
206	2	Aqu1.200269	AT4G23050.2
207	2	Aqu1.200270	AT5G16870.1
208	2	Aqu1.200271	AT2G21480.1
209	2	Aqu1.200272	AT1G75200.1
210	2	Aqu1.200273	AT3G09220.1
211	2	Aqu1.200274	AT1G67490.1
212	2	Aqu1.200275	AT1G55830.2
212	2	Aqu1.200816	AT1G55830.2
213	2	Aqu1.200276	AT5G53060.1
214	2	Aqu1.200278	AT1G53750.1
215	2	Aqu1.200279	AT4G23160.1
215	2	Aqu1.200284	AT4G23160.1
215	2	Aqu1.200441	AT4G23160.1
215	2	Aqu1.200673	AT4G23160.1
216	2	Aqu1.200280	AT2G36950.1
217	2	Aqu1.200281	AT2G03430.1
217	2	Aqu1.200333	AT2G03430.1
217	2	Aqu1.200335	AT2G03430.1
217	2	Aqu1.200530	AT2G03430.1
217	2	Aqu1.200616	AT2G03430.1
217	2	Aqu1.200721	AT2G03430.1
218	2	Aqu1.200282	AT2G24360.1
219	2	Aqu1.200283	AT5G49110.2
220	2	Aqu1.200285	AT5G14040.1
221	2	Aqu1.200286	AT4G05440.1
222	2	Aqu1.200288	AT1G72700.1
223	2	Aqu1.200289	AT2G28450.1
224	2	Aqu1.200290	AT5G42620.2
224	2	Aqu1.200990	AT5G42620.2
224	2	Aqu1.201085	AT5G42620.2
225	2	Aqu1.200291	AT3G28700.1
226	2	Aqu1.200292	AT5G46880.1
227	2	Aqu1.200293	AT2G15110.1
228	2	Aqu1.200295	AT5G64760.1
228	2	Aqu1.200988	AT5G64760.1
229	2	Aqu1.200296	AT1G72920.1
230	2	Aqu1.200297	AT2G29450.1
231	2	Aqu1.200299	AT1G34630.1
232	2	Aqu1.200300	AT4G16710.1
233	2	Aqu1.200301	AT5G63080.1
234	2	Aqu1.200302	AT1G54970.1
235	2	Aqu1.200303	AT3G48170.1
236	2	Aqu1.200304	AT2G40730.1
237	2	Aqu1.200305	AT1G61080.1
238	2	Aqu1.200307	AT1G65580.1
239	2	Aqu1.200308	AT1G71220.2
239	2	Aqu1.200767	AT1G71220.2
240	2	Aqu1.200309	AT1G34220.1
241	2	Aqu1.200310	AT4G23590.1
242	2	Aqu1.200311	AT2G05590.2
243	2	Aqu1.200314	AT3G51800.2
244	2	Aqu1.200315	AT4G03560.1
245	2	Aqu1.200316	AT4G01935.1
246	2	Aqu1.200317	AT5G16360.1
247	2	Aqu1.200318	AT3G04710.1
247	2	Aqu1.200531	AT3G04710.1
247	2	Aqu1.200841	AT3G04710.1
247	2	Aqu1.201001	AT3G04710.1
247	2	Aqu1.201018	AT3G04710.1
247	2	Aqu1.201058	AT3G04710.1
247	2	Aqu1.201131	AT3G04710.1
248	2	Aqu1.200319	AT1G55915.1
249	2	Aqu1.200320	AT3G59260.1
250	2	Aqu1.200321	AT1G17690.1
251	2	Aqu1.200322	AT2G26790.1
251	2	Aqu1.200580	AT2G26790.1
252	2	Aqu1.200324	AT1G58190.2
253	2	Aqu1.200328	AT5G64150.1
254	2	Aqu1.200329	AT3G18860.1
255	2	Aqu1.200330	AT1G24190.1
256	2	Aqu1.200331	AT4G21820.1
257	2	Aqu1.200332	AT2G26770.1
258	2	Aqu1.200336	AT1G33720.1
259	2	Aqu1.200339	AT5G19730.1
260	2	Aqu1.200340	AT2G43620.1
261	2	Aqu1.200341	AT1G73930.1
262	2	Aqu1.200342	AT1G51540.1
263	2	Aqu1.200344	AT5G19590.1
264	2	Aqu1.200345	AT1G73600.2
265	2	Aqu1.200346	AT2G17390.1
266	2	Aqu1.200347	AT5G54520.1
267	2	Aqu1.200349	AT3G55520.1
268	2	Aqu1.200351	AT5G48180.1
269	2	Aqu1.200352	AT5G66350.1
270	2	Aqu1.200353	AT1G14610.1
271	2	Aqu1.200354	AT1G74150.1
271	2	Aqu1.200394	AT1G74150.1
271	2	Aqu1.200410	AT1G74150.1
271	2	Aqu1.200791	AT1G74150.1
272	2	Aqu1.200355	AT2G18540.1
273	2	Aqu1.200356	AT1G21650.3
273	2	Aqu1.200675	AT1G21650.3
273	2	Aqu1.200946	AT1G21650.3
274	2	Aqu1.200357	AT4G32060.1
275	2	Aqu1.200358	AT3G11950.1
275	2	Aqu1.200468	AT3G11950.1
276	2	Aqu1.200360	AT5G04630.1
277	2	Aqu1.200361	AT2G01930.1
278	2	Aqu1.200362	AT5G46540.1
279	2	Aqu1.200363	AT4G10290.1
280	2	Aqu1.200364	AT3G63280.1
281	2	Aqu1.200365	AT3G16000.1
282	2	Aqu1.200366	AT3G27330.1
283	2	Aqu1.200368	AT4G19150.1
284	2	Aqu1.200369	AT2G40050.1
285	2	Aqu1.200370	AT4G10650.1
286	2	Aqu1.200371	AT1G23890.2
286	2	Aqu1.200686	AT1G23890.2
287	2	Aqu1.200372	AT5G05000.2
287	2	Aqu1.200739	AT5G05000.2
287	2	Aqu1.200900	AT5G05000.2
288	2	Aqu1.200373	AT5G45260.1
289	2	Aqu1.200374	AT2G03250.1
290	2	Aqu1.200375	AT5G58510.1
290	2	Aqu1.200491	AT5G58510.1
291	2	Aqu1.200376	AT5G05560.1
292	2	Aqu1.200377	AT3G47360.1
293	2	Aqu1.200378	AT3G17000.1
294	2	Aqu1.200379	AT1G27960.1
295	2	Aqu1.200381	AT2G16640.1
296	2	Aqu1.200382	AT1G49340.2
297	2	Aqu1.200385	AT1G66520.1
298	2	Aqu1.200386	AT2G24280.1
298	2	Aqu1.200592	AT2G24280.1
299	2	Aqu1.200387	AT5G64520.1
300	2	Aqu1.200388	AT5G42220.1
301	2	Aqu1.200390	AT1G07710.1
301	2	Aqu1.200412	AT1G07710.1
301	2	Aqu1.200418	AT1G07710.1
301	2	Aqu1.200782	AT1G07710.1
301	2	Aqu1.201037	AT1G07710.1
301	2	Aqu1.201055	AT1G07710.1
301	2	Aqu1.201078	AT1G07710.1
302	2	Aqu1.200391	AT3G59300.1
303	2	Aqu1.200392	AT4G21520.1
304	2	Aqu1.200395	AT5G53470.1
305	2	Aqu1.200396	AT5G19680.1
306	2	Aqu1.200397	AT4G21900.1
307	2	Aqu1.200398	AT5G20960.1
308	2	Aqu1.200399	AT5G25850.1
309	2	Aqu1.200401	AT5G62650.1
310	2	Aqu1.200402	AT1G61210.1
311	2	Aqu1.200403	AT1G02090.1
312	2	Aqu1.200404	AT3G01320.1
313	2	Aqu1.200405	AT3G06880.2
314	2	Aqu1.200406	AT5G27630.1
314	2	Aqu1.201083	AT5G27630.1
315	2	Aqu1.200407	AT2G22950.1
316	2	Aqu1.200408	AT5G11940.1
317	2	Aqu1.200413	AT5G43745.1
318	2	Aqu1.200414	AT2G43490.1
319	2	Aqu1.200415	AT2G45700.1
319	2	Aqu1.200784	AT2G45700.1
320	2	Aqu1.200417	AT5G15130.1
321	2	Aqu1.200420	AT5G49930.1
321	2	Aqu1.200997	AT5G49930.1
321	2	Aqu1.201112	AT5G49930.1
322	2	Aqu1.200422	AT5G40880.1
323	2	Aqu1.200423	AT1G33930.1
324	2	Aqu1.200424	AT1G58220.1
325	2	Aqu1.200425	AT4G38900.1
326	2	Aqu1.200426	AT5G57130.1
327	2	Aqu1.200429	AT3G09840.1
328	2	Aqu1.200430	AT5G55740.1
329	2	Aqu1.200431	AT1G35710.1
330	2	Aqu1.200432	AT1G05910.1
331	2	Aqu1.200435	AT4G30210.1
332	2	Aqu1.200436	AT5G12260.1
333	2	Aqu1.200438	AT2G47470.1
334	2	Aqu1.200439	AT3G17360.1
335	2	Aqu1.200442	AT2G20790.1
336	2	Aqu1.200443	AT2G19670.1
336	2	Aqu1.200601	AT2G19670.1
337	2	Aqu1.200444	AT3G04840.1
338	2	Aqu1.200446	AT1G18610.1
338	2	Aqu1.200519	AT1G18610.1
338	2	Aqu1.200793	AT1G18610.1
338	2	Aqu1.200932	AT1G18610.1
338	2	Aqu1.201044	AT1G18610.1
339	2	Aqu1.200447	AT1G26310.1
340	2	Aqu1.200448	AT4G22780.1
341	2	Aqu1.200449	AT4G03500.1
341	2	Aqu1.200655	AT4G03500.1
342	2	Aqu1.200451	AT1G09070.1
343	2	Aqu1.200452	AT4G28720.1
343	2	Aqu1.200999	AT4G28720.1
344	2	Aqu1.200453	AT1G10490.1
345	2	Aqu1.200454	AT2G01070.1
346	2	Aqu1.200455	AT1G61840.1
347	2	Aqu1.200457	AT1G02813.1
348	2	Aqu1.200459	AT4G08450.1
349	2	Aqu1.200460	AT3G27150.1
350	2	Aqu1.200462	AT3G20290.1
351	2	Aqu1.200463	AT5G16800.3
352	2	Aqu1.200464	AT1G18560.1
353	2	Aqu1.200465	AT5G13740.1
354	2	Aqu1.200469	AT1G45221.1
355	2	Aqu1.200470	AT1G19980.1
356	2	Aqu1.200471	AT5G61210.1
357	2	Aqu1.200475	AT1G14850.1
358	2	Aqu1.200476	AT4G08900.1
358	2	Aqu1.200891	AT4G08900.1
359	2	Aqu1.200477	AT1G72310.1
360	2	Aqu1.200479	AT4G26230.1
361	2	Aqu1.200482	AT1G59760.1
362	2	Aqu1.200483	AT5G48600.2
363	2	Aqu1.200484	AT3G15870.1
364	2	Aqu1.200485	AT1G16800.1
365	2	Aqu1.200487	AT3G62290.1
366	2	Aqu1.200488	AT1G49590.1
367	2	Aqu1.200489	AT2G01320.3
368	2	Aqu1.200490	AT4G23990.1
369	2	Aqu1.200492	AT1G19730.1
370	2	Aqu1.200493	AT3G05120.1
371	2	Aqu1.200494	AT3G07720.1
371	2	Aqu1.200842	AT3G07720.1
371	2	Aqu1.200940	AT3G07720.1
372	2	Aqu1.200495	AT4G36540.1
373	2	Aqu1.200496	AT1G15200.3
374	2	Aqu1.200497	AT2G26170.1
375	2	Aqu1.200499	AT3G01470.1
376	2	Aqu1.200500	AT1G26200.1
377	2	Aqu1.200501	AT5G13530.1
377	2	Aqu1.200939	AT5G13530.1
377	2	Aqu1.201116	AT5G13530.1
377	2	Aqu1.201119	AT5G13530.1
378	2	Aqu1.200502	AT2G47000.1
379	2	Aqu1.200503	AT4G29450.1
380	2	Aqu1.200504	AT1G71260.1
381	2	Aqu1.200507	AT5G02620.1
381	2	Aqu1.200773	AT5G02620.1
381	2	Aqu1.200924	AT5G02620.1
382	2	Aqu1.200509	AT2G39260.1
383	2	Aqu1.200510	AT1G71770.1
384	2	Aqu1.200513	AT1G19910.1
385	2	Aqu1.200514	AT3G48540.1
385	2	Aqu1.200792	AT3G48540.1
386	2	Aqu1.200515	AT4G27595.1
387	2	Aqu1.200516	AT5G59550.1
388	2	Aqu1.200517	AT1G11670.1
389	2	Aqu1.200518	AT1G18990.1
390	2	Aqu1.200521	AT3G19570.2
391	2	Aqu1.200522	AT3G25280.1
392	2	Aqu1.200523	AT5G17680.1
393	2	Aqu1.200524	AT3G61740.1
394	2	Aqu1.200525	AT2G39480.1
395	2	Aqu1.200526	AT5G11520.1
396	2	Aqu1.200527	AT1G16970.1
397	2	Aqu1.200528	AT2G46560.1
398	2	Aqu1.200529	AT5G40480.1
399	2	Aqu1.200533	AT3G12980.1
400	2	Aqu1.200534	AT1G02305.1
400	2	Aqu1.200880	AT1G02305.1
401	2	Aqu1.200536	AT2G35130.2
402	2	Aqu1.200537	AT3G46350.1
403	2	Aqu1.200538	AT1G67710.1
404	2	Aqu1.200540	AT1G49040.1
405	2	Aqu1.200541	AT2G35800.1
406	2	Aqu1.200542	AT1G04020.1
407	2	Aqu1.200546	AT1G65660.1
408	2	Aqu1.200547	AT5G41670.1
409	2	Aqu1.200548	AT5G33300.1
410	2	Aqu1.200549	AT3G16400.1
411	2	Aqu1.200550	AT2G42010.1
412	2	Aqu1.200551	AT1G11340.1
412	2	Aqu1.200667	AT1G11340.1
413	2	Aqu1.200552	AT4G39680.1
414	2	Aqu1.200554	AT4G32700.2
415	2	Aqu1.200555	AT5G52820.1
416	2	Aqu1.200556	AT4G14070.1
417	2	Aqu1.200557	AT3G47120.1
418	2	Aqu1.200558	AT3G56690.1
418	2	Aqu1.200598	AT3G56690.1
418	2	Aqu1.200631	AT3G56690.1
418	2	Aqu1.201105	AT3G56690.1
419	2	Aqu1.200562	AT5G22360.1
420	2	Aqu1.200563	AT2G16740.1
421	2	Aqu1.200564	AT3G58440.1
422	2	Aqu1.200565	AT1G02560.1
423	2	Aqu1.200567	AT3G30300.1
424	2	Aqu1.200569	AT2G37290.2
425	2	Aqu1.200570	AT4G29840.1
426	2	Aqu1.200572	AT3G05630.1
427	2	Aqu1.200573	AT3G50370.1
427	2	Aqu1.200729	AT3G50370.1
427	2	Aqu1.201031	AT3G50370.1
428	2	Aqu1.200574	AT3G48530.1
429	2	Aqu1.200575	AT3G05790.1
430	2	Aqu1.200578	AT2G26890.1
431	2	Aqu1.200579	AT5G65030.1
432	2	Aqu1.200581	AT3G51690.1
432	2	Aqu1.200764	AT3G51690.1
433	2	Aqu1.200582	AT2G17930.1
434	2	Aqu1.200583	AT2G43040.1
435	2	Aqu1.200584	AT2G26000.2
436	2	Aqu1.200585	AT1G24764.1
437	2	Aqu1.200586	AT4G39280.1
437	2	Aqu1.200749	AT4G39280.1
438	2	Aqu1.200587	AT2G27170.1
439	2	Aqu1.200588	AT5G53140.1
440	2	Aqu1.200591	AT3G21410.1
441	2	Aqu1.200593	AT4G20430.1
442	2	Aqu1.200594	AT1G33970.1
443	2	Aqu1.200595	AT5G63280.1
444	2	Aqu1.200596	AT2G34357.1
445	2	Aqu1.200597	AT3G45870.1
446	2	Aqu1.200599	AT1G70110.1
447	2	Aqu1.200600	AT2G45910.1
447	2	Aqu1.200954	AT2G45910.1
448	2	Aqu1.200602	AT4G21120.1
449	2	Aqu1.200604	AT5G05070.1
450	2	Aqu1.200605	AT3G21320.1
451	2	Aqu1.200608	AT1G15940.1
452	2	Aqu1.200611	AT4G21580.1
453	2	Aqu1.200612	AT5G60142.1
454	2	Aqu1.200613	AT1G16260.1
455	2	Aqu1.200614	AT1G71860.1
455	2	Aqu1.200844	AT1G71860.1
455	2	Aqu1.200897	AT1G71860.1
455	2	Aqu1.201042	AT1G71860.1
456	2	Aqu1.200615	AT5G40270.1
457	2	Aqu1.200619	AT1G60590.1
458	2	Aqu1.200620	AT5G09590.1
458	2	Aqu1.200858	AT5G09590.1
459	2	Aqu1.200621	AT5G57940.1
460	2	Aqu1.200622	AT1G72660.1
461	2	Aqu1.200623	AT2G19450.1
462	2	Aqu1.200624	AT2G06020.1
463	2	Aqu1.200625	AT4G04700.1
464	2	Aqu1.200627	AT3G25270.1
465	2	Aqu1.200628	AT4G29780.1
466	2	Aqu1.200629	AT4G13560.1
467	2	Aqu1.200632	AT1G68590.1
468	2	Aqu1.200633	AT5G27740.1
469	2	Aqu1.200634	AT1G75800.1
470	2	Aqu1.200635	AT2G47800.1
